name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Davie, Donald (Donald Alfred)"	personal					ECU	ArchivesSpace	PersonCreator
"Davis, Frank W., Sr."	personal					ECU	ArchivesSpace	PersonCreator
"Davis, Glenn B."	personal					ECU	ArchivesSpace	PersonCreator
"Davis, James W. (James White), 1906-1995"	personal					ECU	ArchivesSpace	PersonCreator
"Davis, Joshua Judson"	personal					ECU	ArchivesSpace	PersonCreator
"Davis, Lou Moore"	personal					ECU	ArchivesSpace	PersonCreator
"Davis, Louis Poisson, 1883-1978"	personal					ECU	ArchivesSpace	PersonCreator
"Davis, Louis Poisson, Jr."	personal					ECU	ArchivesSpace	PersonCreator
"Davis, Sallie Joyner, 1871-1954"	personal					ECU	ArchivesSpace	PersonCreator
"Day, DeWitt C."	personal					ECU	ArchivesSpace	PersonCreator
"De Laet, Joannes"	personal					ECU	ArchivesSpace	PersonCreator
"Deal, Elizabeth Robinson"	personal					ECU	ArchivesSpace	PersonCreator
"Deal, Newton Harvey"	personal					ECU	ArchivesSpace	PersonCreator
"Deal, Ralph C."	personal					ECU	ArchivesSpace	PersonCreator
"Debnam, W. E."	personal					ECU	ArchivesSpace	PersonCreator
"DeFoe, Stansel E."	personal					ECU	ArchivesSpace	PersonCreator
"DeGraffenried, Helmuth"	personal					ECU	ArchivesSpace	PersonCreator
"DeGraffenried, Victor, Major"	personal					ECU	ArchivesSpace	PersonCreator
"DeLaine, Lucy T."	personal					ECU	ArchivesSpace	PersonCreator
"Delano, Victor, 1918-"	personal					ECU	ArchivesSpace	PersonCreator
"Dembo, Jonathan, 1948-"	personal					ECU	ArchivesSpace	PersonCreator
"Dennard, David C., Dr."	personal					ECU	ArchivesSpace	PersonCreator
"DeVenter, Willard W."	personal					ECU	ArchivesSpace	PersonCreator
"DeVisconti, Tabitha Marie"	personal					ECU	ArchivesSpace	PersonCreator
"Dew, Samuel Barnes"	personal					ECU	ArchivesSpace	PersonCreator
"Dibble, Robert E"	personal					ECU	ArchivesSpace	PersonCreator
"Dickens, Gwen B."	personal					ECU	ArchivesSpace	PersonCreator
"Dickey, James"	personal					ECU	ArchivesSpace	PersonCreator
"Dickson, Joe A."	personal					ECU	ArchivesSpace	PersonCreator
"Dillard, R. H. W. (Richard Henry Wilde)"	personal					ECU	ArchivesSpace	PersonCreator
"Dillard, Richard, Jr."	personal					ECU	ArchivesSpace	PersonCreator
"Dillon, Fairfax Kirkwood"	personal					ECU	ArchivesSpace	PersonCreator
"DiMilla, Salvatore J."	personal					ECU	ArchivesSpace	PersonCreator
"Disosway, Lula M. (Lula Marjorie)"	personal					ECU	ArchivesSpace	PersonCreator
"Dix, J. W. K."	personal					ECU	ArchivesSpace	PersonCreator
"Dixon, Melvin"	personal					ECU	ArchivesSpace	PersonCreator
"Dixon, Richard Dillard, 1888-1952"	personal					ECU	ArchivesSpace	PersonCreator
"Dixon, Richard Dillard, 1926-1993"	personal					ECU	ArchivesSpace	PersonCreator
